City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
505,carballo,43.213,-8.691,6.04,71,22,1.65,ES,1675835064
506,kalat,29.0225,66.5916,12.03,39,51,5.24,PK,1675835064
507,presidencia roque saenz pena,-26.7852,-60.4388,26.94,41,38,3.07,AR,1675835065
508,chicama,-7.8447,-79.1469,21.3,77,59,1.65,PE,1675835066
509,ixtapa,20.7,-105.2,20.68,94,0,0.0,MX,1675834240
510,hamilton,39.1834,-84.5333,9.84,84,100,2.57,US,1675834848
511,timbiqui,2.7717,-77.6654,23.6,95,79,2.01,CO,1675835066
512,muroto,33.2833,134.15,14.06,43,5,6.0,JP,1675835067
513,jutai,-5.1833,-68.9,22.59,98,100,0.41,BR,1675835067
514,chara,56.9064,118.2631,-17.99,72,63,1.07,RU,1675834607
515,kentau,43.5206,68.5094,5.38,54,100,1.27,KZ,1675835068
516,sawtell,-30.3833,153.1,26.01,61,78,4.12,AU,1675835068
517,cairns,-16.9167,145.7667,32.84,74,40,4.63,AU,1675835068
518,ahuimanu,21.4447,-157.8378,23.84,81,20,6.17,US,1675835069
519,zhangzhou,24.5133,117.6556,18.96,65,77,2.29,CN,1675835069
520,yar-sale,66.8333,70.8333,-13.58,92,100,10.71,RU,1675835069
521,maragogi,-9.0122,-35.2225,24.21,76,97,2.17,BR,1675834384
522,camabatela,-8.1881,15.375,17.18,90,100,1.42,AO,1675835070
523,ko samui,9.5357,99.9357,30.95,66,20,3.09,TH,1675834902
524,sumenep,-7.0167,113.8667,26.7,84,99,5.38,ID,1675835070
525,qasigiannguit,68.8193,-51.1922,-24.86,98,97,2.38,GL,1675835071
526,pilar,-9.5972,-35.9567,21.96,83,85,0.8,BR,1675834588
527,warah,27.4481,67.7978,25.48,17,5,3.03,PK,1675835071
528,zakupne,49.1194,26.3376,-9.39,95,7,2.05,UA,1675835072
529,waipawa,-41.4122,175.5153,17.6,73,25,1.55,NZ,1675835072
530,tahlequah,35.9154,-94.97,6.71,87,100,3.09,US,1675835072
531,faya,18.3851,42.4509,13.29,36,29,2.12,SA,1675835073
532,luganville,-15.5333,167.1667,27.44,81,100,2.72,VU,1675835073
533,bubaque,11.2833,-15.8333,24.09,58,5,4.65,GW,1675835074
534,fershampenuaz,53.5202,59.8117,-16.69,100,100,1.71,RU,1675835074
535,pacific grove,36.6177,-121.9166,10.36,92,0,4.12,US,1675835074
536,balkhash,46.844,74.9804,-15.66,92,40,6.0,KZ,1675834643
537,angoche,-16.2325,39.9086,27.1,75,99,3.41,MZ,1675835075
538,kitimat,54.0524,-128.6534,1.21,31,98,1.41,CA,1675835075
539,skibbereen,51.55,-9.2667,8.95,89,94,5.08,IE,1675835077
540,makakilo city,21.3469,-158.0858,23.18,72,20,6.17,US,1675835077
541,saint-augustin,51.226,-58.6502,-18.88,94,36,2.37,CA,1675835078
